2theta,intensity
10.0,0.0
10.02,7.288410303420733
10.04,29.576820606841466
10.06,0.0
10.08,30.153641213682818
10.1,0.0
10.12,0.0
10.14,18.018872123944902
10.16,0.0
10.18,50.59569273078637
10.2,0.0
10.22,54.17251333762772
10.24,28.460923641048453
10.26,27.749333944469186
10.28,25.03774424788992
10.3,92.32615455131065
10.32,17.61456485473127
10.34,36.902975158152
10.36,18.191385461572736
10.38,1.4797957649934688
10.4,10.768206068414088
10.42,44.05661637183482
10.44,35.34502667525555
10.46,0.6334369786762863
10.48,29.921847282096905
10.5,62.21025758551764
10.52,29.49866788893837
10.54,31.787078192359104
10.56,47.07548849577984
10.58,0.0
10.6,0.0
10.62,0.0
10.64,6.229129709462654
10.66,61.51754001288327
10.68,1.8059503163040063
10.7,27.09436061972474
10.72,0.0
10.74,10.671181226566205
10.76,0.0
10.78,72.24800183340756
10.8,0.0
10.82,0.0
10.84,13.113232743669641
10.86,0.0
10.88,80.6900533505111
10.9,0.0
10.92,30.26687395735246
10.94,0.0
10.96,17.843694564193925
10.98,16.132104867614657
11.0,11.420515171035277
11.02,0.0
11.04,0.0
11.06,30.285746081297475
11.08,0.0
11.1,21.862566688138827
11.12,0.0
11.14,41.43938729498029
11.16,15.727797598401025
11.18,16.016207901821645
11.2,0.0
11.22,3.59302850866311
11.24,26.881438812083843
11.26,0.0
11.28,0.0
11.3,0.0
11.32,14.03508002576666
11.34,28.32349032918728
11.36,28.611900632608013
11.38,0.0
11.4,33.18872123944948
11.42,17.47713154287021
11.44,41.76554184629083
11.46,6.053952149711563
11.48,4.342362453132296
11.5,29.63077275655303
11.52,0.0
11.54,22.20759336339438
11.56,15.496003666815113
11.58,0.0
11.6,62.07282427365658
11.62,2.361234577077198
11.64,13.649644880497931
11.66,0.0
11.68,17.226465487339397
11.7,0.0
11.72,0.0
11.74,27.09169639760148
11.76,0.0
11.78,0.0
11.8,52.956927307863566
11.82,8.245337611284299
11.84,0.0
11.86,55.822158218125765
11.88,23.110568521546384
11.9,0.0
11.92,0.0
11.94,39.97579943180858
11.96,31.2642097352292
11.98,0.0
12.0,0.0
12.02,15.1294406454914
12.04,20.41785094891202
12.06,7.706261252332752
12.08,21.994671555753484
12.1,36.28308185917422
12.12,0.0
12.14,96.85990246601557
12.16,52.1483127694363
12.18,20.436723072857035
12.2,0.0
12.22,0.0
12.24,17.30195398311912
12.26,0.0
12.28,0.0
12.3,1.167184893381318
12.32,0.0
12.34,0.0
12.36,39.0324158036434
12.38,29.320826107064022
12.4,31.609236410484755
12.42,11.897646713905488
12.44,16.18605701732622
12.46,10.474467320746953
12.48,0.0
12.5,0.0
12.52,42.33969823100904
12.54,0.0
12.56,0.0
12.58,30.204929141271123
12.6,0.0
12.62,0.0
12.64,21.07016005153332
12.66,0.0
12.68,1.6469806583746731
12.7,0.0
12.72,0.0
12.74,20.512211568636758
12.76,9.80062187205749
12.78,0.0
12.8,28.377442478898956
12.82,13.66585278231969
12.84,0.0
12.86,10.242673389161041
12.88,0.0
12.9,50.81949399600239
12.92,0.0
12.94,29.39631460284386
12.96,4.6847249062645915
12.98,21.973135209685324
13.0,15.261545513106057
13.02,26.549955816526676
13.04,0.0
13.06,14.126776423368142
13.08,12.415186726788761
13.1,0.0
13.12,10.992007333630227
13.14,20.28041763705096
13.16,14.568827940471692
13.18,0.0
13.2,0.0
13.22,0.0
13.24,65.72246915415451
13.26,0.010879457575128981
13.28,35.29928976099586
13.3,18.587700064416595
13.32,1.8761103678373274
13.34,60.16452067125806
13.36,49.45293097467868
13.38,9.741341278099412
13.4,76.02975158152015
13.42,19.318161884940764
13.44,35.6065721883615
13.46,68.89498249178223
13.48,0.0
13.5,39.471803098623695
13.52,47.76021340204443
13.54,0.0
13.56,12.33703400888578
13.58,34.62544431230651
13.6,34.91385461572713
13.62,31.202264919147865
13.64,0.0
13.66,6.779085525989331
13.68,0.06749582941006338
13.7,0.0
13.72,0.0
13.74,0.0
13.76,0.0
13.78,20.939501562582223
13.8,0.0
13.82,28.136291646802874
13.84,0.0
13.86,0.0
13.88,47.43147677313368
13.9,70.52987181524395
13.92,25.62826685735422
13.94,24.72666189946449
13.96,45.82505694157476
13.98,44.92345198368503
14.0,16.02184702579541
14.02,60.12024206790568
14.04,51.21863711001595
14.06,76.31703215212622
14.08,0.0
14.1,45.513822236346755
14.12,100.61221727845702
14.14,56.71061232056729
14.16,93.80900736267756
14.18,77.90740240478794
14.2,81.00579744689821
14.22,94.10419248900848
14.24,128.20258753111875
14.26,186.30098257322902
14.28,188.3993776153393
14.3,167.49777265744956
14.32,152.59616769955983
14.34,208.6945627416701
14.36,207.79295778378037
14.38,209.89135282589075
14.4,326.989747868001
14.42,312.0881429101113
14.44,430.18653795222156
14.46,368.2849329943318
14.48,426.3833280364421
14.5,531.4817230785524
14.52,566.5801181206626
14.54,663.678513162773
14.56,718.7769082048833
14.58,838.8753032469936
14.6,969.9736982891038
14.62,1140.072093331214
14.64,1236.1704883733244
14.66,1484.2688834154346
14.68,1625.367278457545
14.7,1863.4656734996552
14.72,2081.5640685417657
14.74,2264.6624635838757
14.76,2654.760858625986
14.78,2872.8592536680962
14.8,3209.9576487102067
14.82,3367.056043752317
14.84,3205.1544387944273
14.86,2944.2528338365373
14.88,2273.351228878648
14.9,1768.449623920758
14.92,1145.5480189628684
14.94,832.6464140049786
14.96,636.7448090470889
14.98,545.8432040891992
15.0,411.94159913130943
15.02,338.0399941734197
15.04,277.13838921552997
15.06,222.23678425764024
15.08,160.3351792997505
15.1,131.43357434186078
15.12,135.53196938397116
15.14,116.63036442608143
15.16,114.7287594681917
15.18,79.82715451030197
15.2,86.92554955241224
15.22,56.023944594522504
15.24,50.12233963663277
15.26,31.220734678743042
15.28,31.319129720853425
15.3,36.417524762963694
15.32,55.51591980507396
15.34,3.6143148471842323
15.36,20.7127098892945
15.38,57.81110493140477
15.4,0.0
15.42,25.00789501562531
15.44,44.10629005773558
15.46,14.204685099845847
15.48,19.30308014195623
15.5,33.4014751840665
15.52,11.499870226176768
15.54,14.598265268287037
15.56,58.696660310397306
15.58,26.795055352507575
15.6,52.893450394617844
15.62,57.99184543672811
15.64,52.090240478838496
15.66,10.188635520948765
15.68,33.287030563059034
15.7,14.385425605169303
15.72,30.483820647279572
15.74,0.0
15.76,42.68061073150011
15.78,46.77900577361038
15.8,16.877400815720648
15.82,44.97579585783092
15.84,24.0741908999413
15.86,0.17258594205156896
15.88,8.270980984161838
15.9,0.0
15.92,7.467771068382376
15.94,18.566166110492645
15.96,0.0
15.98,0.0
16.0,43.861351236823566
16.02,9.959746278933835
16.04,0.0
16.06,0.0
16.08,19.254931405264642
16.1,23.35332644737491
16.12,23.45172148948518
16.14,29.55011653159545
16.16,18.64851157370572
16.18,35.74690661581599
16.2,35.84530165792626
16.22,19.94369670003664
16.24,14.042091742146908
16.26,0.0
16.28,0.0
16.3,0.0
16.32,0.0
16.34,0.0
16.36,0.0
16.38,0.0
16.4,0.8292520790291746
16.42,0.0
16.44,0.0
16.46,0.0
16.48,10.22283224747025
16.5,2.32122728958052
16.52,16.41962233169079
16.54,16.518017373801058
16.56,0.0
16.58,6.71480745802171
16.6,0.0
16.62,0.0
16.64,0.0
16.66,35.108387626462786
16.68,0.0
16.7,0.0
16.72,24.403572752793707
16.74,3.501967794903976
16.76,43.600362837014245
16.78,47.698757879124514
16.8,0.0
16.82,32.89554796334505
16.84,14.993943005455321
16.86,14.09233804756559
16.88,19.19073308967586
16.9,65.28912813178613
16.92,33.3875231738964
16.94,8.485918216006667
16.96,25.58431325811705
16.98,67.68270830022732
17.0,31.781103342337587
17.02,26.879498384447857
17.04,78.97789342655813
17.06,0.0
17.08,19.174683510778777
17.1,32.27307855288905
17.12,43.371473594999316
17.14,65.46986863710958
17.16,63.568263679219854
17.18,1.6666587213301227
17.2,0.0
17.22,43.86344880555066
17.24,0.0
17.26,59.0602388897712
17.28,10.158633931881468
17.3,79.25702897399174
17.32,5.35542401610212
17.34,21.45381905821239
17.36,11.552214100322658
17.38,15.650609142432927
17.4,1.749004184543196
17.42,0.0
17.44,7.945794268763734
17.46,11.044189310874117
17.48,0.0
17.5,20.240979395094655
17.52,45.339374437204924
17.54,27.437769479315193
17.56,28.536164521425462
17.58,0.0
17.6,11.732954605646
17.62,31.83134964775627
17.64,12.929744689866538
17.66,33.02813973197681
17.68,28.12653477408719
17.7,0.0
17.72,54.32332485830773
17.74,23.421719900417997
17.76,0.0
17.78,1.6185099846385356
17.8,34.716905026748805
17.82,34.81530006885919
17.84,35.913695110969456
17.86,15.012090153079725
17.88,29.110485195189995
17.9,0.0
17.92,46.30727527941053
17.94,0.0
17.96,0.0
17.98,54.60246040574134
18.0,24.70085544785161
18.02,35.79925048996188
18.04,34.89764553207215
18.06,50.99604057418253
18.08,22.0944356162928
18.1,0.1928306584030679
18.12,24.291225700513337
18.14,8.389620742623606
18.16,0.0
18.18,90.58641082684426
18.2,16.684805868954527
18.22,37.783200911064796
18.24,25.881595953175065
18.26,30.979990995285334
18.28,25.078386037395603
18.3,73.17678107950587
18.32,36.27517612161614
18.34,65.37357116372641
18.36,32.47196620583668
18.38,34.57036124794695
18.4,7.6687562900572175
18.42,26.767151332167487
18.44,0.0
18.46,62.96394141638814
18.48,20.062336458498407
18.5,11.160731500608676
18.52,43.259126542718946
18.54,6.357521584829271
18.56,11.45591662693954
18.58,31.55431166904981
18.6,48.65270671116008
18.62,12.751101753270405
18.64,12.849496795380674
18.66,97.94789183749094
18.68,8.046286879601212
18.7,8.14468192171148
18.72,19.243076963821807
18.74,43.341472005932076
18.76,45.439867048042345
18.78,64.53826209015261
18.8,38.63665713226294
18.82,25.73505217437321
18.84,34.83344721648348
18.86,86.93184225859375
18.88,45.030237300704016
18.9,82.12863234281434
18.92,0.0
18.94,22.32542242703488
18.96,20.42381746914515
18.98,10.522212511255475
19.0,11.620607553365744
19.02,26.719002595476013
19.04,67.81739763758628
19.06,10.915792679696551
19.08,57.01418772180688
19.1,32.112582763917146
19.12,75.21097780602742
19.14,44.309372848137684
19.16,62.40776789024801
19.18,19.50616293235828
19.2,33.60455797446855
19.22,47.70295301657882
19.24,24.801348058689086
19.26,45.89974310079941
19.28,18.99813814290968
19.3,46.09653318501995
19.32,53.19492822713022
19.34,74.29332326924049
19.36,29.391718311350814
19.38,43.49011335346108
19.4,18.588508395571353
19.42,23.68690343768162
19.44,69.78529847979195
19.46,34.88369352190222
19.48,47.982088564012486
19.5,101.08048360612275
19.52,16.17887864823308
19.54,7.617728703548551
19.56,63.05657875886402
19.58,81.49542881417943
19.6,59.934278869494904
19.62,51.37312892481037
19.64,68.81197898012584
19.66,41.25082903544131
19.68,33.68967909075673
19.7,33.1285291460722
19.72,57.567379201387666
19.74,54.006229256703136
19.76,72.4450793120186
19.78,56.88392936733402
19.8,52.32277942264949
19.82,36.76162947796496
19.84,71.20047953328043
19.86,0.0
19.88,22.078179643911312
19.9,78.51702969922678
19.92,65.95587975454225
19.94,44.39472980985772
19.96,68.83357986517314
19.98,41.272429920488605
20.0,30.711279975804075
20.02,50.150130031119545
20.04,24.588980086435015
20.06,73.02783014175043
20.08,53.4666801970659
20.1,61.90553025238137
20.12,38.34438030769684
20.14,49.78323036301231
20.16,42.22208041832772
20.18,43.66093047364319
20.2,36.09978052895866
20.22,77.53863058427413
20.24,46.9774806395896
20.26,38.416330694905014
20.28,24.855180750220484
20.3,68.29403080553595
20.32,65.73288086085142
20.34,64.1717309161669
20.36,43.61058097148231
20.38,57.04943102679778
20.4,21.488281082113247
20.42,53.92713113742872
20.44,68.36598119274413
20.46,68.8048312480596
20.48,49.24368130337507
20.5,31.68253135869054
20.52,45.12138141400601
20.54,39.56023146932142
20.56,12.999081524636892
20.58,19.437931579952362
20.6,19.876781635267832
20.62,24.315631690583302
20.64,62.754481745898715
20.66,67.19333180121419
20.68,50.632181856529655
20.7,3.0710319118451253
20.72,46.509881967160595
20.74,32.94873202247601
20.76,19.38758207779148
20.78,53.82643213310695
20.8,53.26528218842242
20.82,12.704132243737888
20.84,34.1429822990533
20.86,46.58183235436877
20.88,72.02068240968424
20.9,61.45953246499971
20.92,65.89838252031518
20.94,22.337232575630594
20.96,6.776082630946064
