2theta,intensity
10.0,1014.0
10.02,1012.7115896965793
10.04,1011.4231793931585
10.06,1010.1347690897379
10.08,1008.8463587863172
10.1,1007.5579484828964
10.12,1006.2695381794757
10.14,1004.9811278760551
10.16,1003.6927175726344
10.18,1002.4043072692136
10.2,1001.1158969657929
10.22,999.8274866623723
10.24,998.5390763589515
10.26,997.2506660555308
10.28,995.9622557521101
10.3,994.6738454486893
10.32,993.3854351452687
10.34,992.097024841848
10.36,990.8086145384273
10.38,989.5202042350065
10.4,988.2317939315859
10.42,986.9433836281652
10.44,985.6549733247444
10.46,984.3665630213237
10.48,983.0781527179031
10.5,981.7897424144824
10.52,980.5013321110616
10.54,979.2129218076409
10.56,977.9245115042202
10.58,976.6361012007995
10.6,975.3476908973788
10.62,974.0592805939581
10.64,972.7708702905373
10.66,971.4824599871167
10.68,970.194049683696
10.7,968.9056393802753
10.72,967.6172290768545
10.74,966.3288187734338
10.76,965.0404084700132
10.78,963.7519981665924
10.8,962.4635878631717
10.82,961.175177559751
10.84,959.8867672563304
10.86,958.5983569529096
10.88,957.3099466494889
10.9,956.0215363460682
10.92,954.7331260426475
10.94,953.4447157392268
10.96,952.1563054358061
10.98,950.8678951323853
11.0,949.5794848289647
11.02,948.291074525544
11.04,947.0026642221233
11.06,945.7142539187025
11.08,944.4258436152818
11.1,943.1374333118612
11.12,941.8490230084404
11.14,940.5606127050197
11.16,939.272202401599
11.18,937.9837920981784
11.2,936.6953817947576
11.22,935.4069714913369
11.24,934.1185611879162
11.26,932.8301508844954
11.28,931.5417405810748
11.3,930.2533302776541
11.32,928.9649199742333
11.34,927.6765096708127
11.36,926.388099367392
11.38,925.0996890639713
11.4,923.8112787605505
11.42,922.5228684571298
11.44,921.2344581537092
11.46,919.9460478502884
11.48,918.6576375468677
11.5,917.369227243447
11.52,916.0808169400264
11.54,914.7924066366056
11.56,913.5039963331849
11.58,912.2155860297642
11.6,910.9271757263434
11.62,909.6387654229228
11.64,908.3503551195021
11.66,907.0619448160813
11.68,905.7735345126606
11.7,904.48512420924
11.72,903.1967139058193
11.74,901.9083036023985
11.76,900.6198932989778
11.78,899.331482995557
11.8,898.0430726921364
11.82,896.7546623887157
11.84,895.466252085295
11.86,894.1778417818742
11.88,892.8894314784536
11.9,891.6010211750329
11.92,890.3126108716122
11.94,889.0242005681914
11.96,887.7357902647708
11.98,886.4473799613501
12.0,885.1589696579293
12.02,883.8705593545086
12.04,882.582149051088
12.06,881.2937387476672
12.08,880.0053284442465
12.1,878.7169181408258
12.12,877.428507837405
12.14,876.1400975339844
12.16,874.8516872305637
12.18,873.563276927143
12.2,872.2748666237222
12.22,870.9864563203016
12.24,869.6980460168809
12.26,868.4096357134601
12.28,867.1212254100394
12.3,865.8328151066187
12.32,864.5444048031981
12.34,863.2559944997773
12.36,861.9675841963566
12.38,860.679173892936
12.4,859.3907635895152
12.42,858.1023532860945
12.44,856.8139429826738
12.46,855.525532679253
12.48,854.2371223758323
12.5,852.9487120724117
12.52,851.660301768991
12.54,850.3718914655702
12.56,849.0834811621496
12.58,847.7950708587289
12.6,846.5066605553081
12.62,845.2182502518874
12.64,843.9298399484667
12.66,842.6414296450461
12.68,841.3530193416253
12.7,840.0646090382046
12.72,838.7761987347839
12.74,837.4877884313632
12.76,836.1993781279425
12.78,834.9109678245218
12.8,833.622557521101
12.82,832.3341472176803
12.84,831.0457369142597
12.86,829.757326610839
12.88,828.4689163074182
12.9,827.1805060039976
12.92,825.8920957005769
12.94,824.6036853971561
12.96,823.3152750937354
12.98,822.0268647903147
13.0,820.7384544868939
13.02,819.4500441834733
13.04,818.1616338800526
13.06,816.8732235766319
13.08,815.5848132732112
13.1,814.2964029697905
13.12,813.0079926663698
13.14,811.719582362949
13.16,810.4311720595283
13.18,809.1427617561077
13.2,807.854351452687
13.22,806.5659411492662
13.24,805.2775308458455
13.26,803.9891205424249
13.28,802.7007102390041
13.3,801.4122999355834
13.32,800.1238896321627
13.34,798.8354793287419
13.36,797.5470690253213
13.38,796.2586587219006
13.4,794.9702484184799
13.42,793.6818381150592
13.44,792.3934278116385
13.46,791.1050175082178
13.48,789.816607204797
13.5,788.5281969013763
13.52,787.2397865979556
13.54,785.951376294535
13.56,784.6629659911142
13.58,783.3745556876935
13.6,782.0861453842729
13.62,780.7977350808521
13.64,779.5093247774314
13.66,778.2209144740107
13.68,776.9325041705899
13.7,775.6440938671693
13.72,774.3556835637486
13.74,773.2572885216383
13.76,772.158893479528
13.78,771.0604984374178
13.8,769.9621033953075
13.82,768.8637083531971
13.84,767.7653133110869
13.86,766.6669182689766
13.88,765.5685232268663
13.9,764.470128184756
13.92,763.3717331426458
13.94,762.2733381005355
13.96,761.1749430584252
13.98,760.076548016315
14.0,758.9781529742046
14.02,757.8797579320943
14.04,756.781362889984
14.06,755.6829678478738
14.08,754.5845728057635
14.1,753.4861777636532
14.12,752.387782721543
14.14,751.2893876794327
14.16,750.1909926373224
14.18,749.092597595212
14.2,747.9942025531018
14.22,746.8958075109915
14.24,745.7974124688812
14.26,744.699017426771
14.28,743.6006223846607
14.3,742.5022273425504
14.32,741.4038323004402
14.34,740.3054372583299
14.36,739.2070422162196
14.38,738.1086471741093
14.4,737.010252131999
14.42,735.9118570898887
14.44,734.8134620477784
14.46,733.7150670056682
14.48,732.6166719635579
14.5,731.5182769214476
14.52,730.4198818793374
14.54,729.321486837227
14.56,728.2230917951167
14.58,727.1246967530064
14.6,726.0263017108962
14.62,724.9279066687859
14.64,723.8295116266756
14.66,722.7311165845654
14.68,721.6327215424551
14.7,720.5343265003448
14.72,719.4359314582346
14.74,718.3375364161242
14.76,717.2391413740139
14.78,716.1407463319036
14.8,715.0423512897934
14.82,713.9439562476831
14.84,712.8455612055728
14.86,711.7471661634626
14.88,710.6487711213523
14.9,709.5503760792419
14.92,708.4519810371316
14.94,707.3535859950214
14.96,706.2551909529111
14.98,705.1567959108008
15.0,704.0584008686906
15.02,702.9600058265803
15.04,701.86161078447
15.06,700.7632157423598
15.08,699.6648207002495
15.1,698.5664256581392
15.12,697.4680306160288
15.14,696.3696355739186
15.16,695.2712405318083
15.18,694.172845489698
15.2,693.0744504475878
15.22,691.9760554054775
15.24,690.8776603633672
15.26,689.779265321257
15.28,688.6808702791466
15.3,687.5824752370363
15.32,686.484080194926
15.34,685.3856851528158
15.36,684.2872901107055
15.38,683.1888950685952
15.4,682.090500026485
15.42,680.9921049843747
15.44,679.8937099422644
15.46,678.7953149001542
15.48,677.6969198580438
15.5,676.5985248159335
15.52,675.5001297738232
15.54,674.401734731713
15.56,673.3033396896027
15.58,672.2049446474924
15.6,671.1065496053822
15.62,670.0081545632719
15.64,668.9097595211615
15.66,667.8113644790512
15.68,666.712969436941
15.7,665.6145743948307
15.72,664.5161793527204
15.74,663.4177843106102
15.76,662.3193892684999
15.78,661.2209942263896
15.8,660.1225991842794
15.82,659.0242041421691
15.84,657.9258091000587
15.86,656.8274140579484
15.88,655.7290190158382
15.9,654.6306239737279
15.92,653.5322289316176
15.94,652.4338338895074
15.96,651.3354388473971
15.98,650.2370438052868
16.0,649.1386487631764
16.02,648.0402537210662
16.04,646.9418586789559
16.06,645.8434636368456
16.08,644.7450685947354
16.1,643.6466735526251
16.12,642.5482785105148
16.14,641.4498834684046
16.16,640.3514884262943
16.18,639.253093384184
16.2,638.1546983420737
16.22,637.0563032999634
16.24,635.9579082578531
16.26,634.8595132157428
16.28,633.7611181736326
16.3,632.6627231315223
16.32,631.564328089412
16.34,630.4659330473017
16.36,629.3675380051914
16.38,628.2691429630811
16.4,627.1707479209708
16.42,626.0723528788606
16.44,624.9739578367503
16.46,623.87556279464
16.48,622.7771677525297
16.5,621.6787727104195
16.52,620.5803776683092
16.54,619.4819826261989
16.56,618.3835875840887
16.58,617.2851925419783
16.6,616.186797499868
16.62,615.0884024577578
16.64,613.9900074156475
16.66,612.8916123735372
16.68,611.793217331427
16.7,610.6948222893167
16.72,609.5964272472063
16.74,608.498032205096
16.76,607.3996371629858
16.78,606.3012421208755
16.8,605.2028470787652
16.82,604.104452036655
16.84,603.0060569945447
16.86,601.9076619524344
16.88,600.8092669103241
16.9,599.7108718682139
16.92,598.6124768261036
16.94,597.5140817839933
16.96,596.415686741883
16.98,595.3172916997727
17.0,594.2188966576624
17.02,593.1205016155521
17.04,592.0221065734419
17.06,590.9237115313316
17.08,589.8253164892212
17.1,588.726921447111
17.12,587.6285264050007
17.14,586.5301313628904
17.16,585.4317363207801
17.18,584.3333412786699
17.2,583.2349462365596
17.22,582.1365511944493
17.24,581.0381561523391
17.26,579.9397611102288
17.28,578.8413660681185
17.3,577.7429710260083
17.32,576.6445759838979
17.34,575.5461809417876
17.36,574.4477858996773
17.38,573.3493908575671
17.4,572.2509958154568
17.42,571.1526007733465
17.44,570.0542057312363
17.46,568.9558106891259
17.48,567.8574156470156
17.5,566.7590206049053
17.52,565.6606255627951
17.54,564.5622305206848
17.56,563.4638354785745
17.58,562.3654404364643
17.6,561.267045394354
17.62,560.1686503522437
17.64,559.0702553101335
17.66,557.9718602680232
17.68,556.8734652259128
17.7,555.7750701838025
17.72,554.6766751416923
17.74,553.578280099582
17.76,552.4798850574717
17.78,551.3814900153615
17.8,550.2830949732512
17.82,549.1846999311408
17.84,548.0863048890305
17.86,546.9879098469203
17.88,545.88951480481
17.9,544.7911197626997
17.92,543.6927247205895
17.94,542.5943296784792
17.96,541.4959346363689
17.98,540.3975395942587
18.0,539.2991445521484
18.02,538.2007495100381
18.04,537.1023544679279
18.06,536.0039594258175
18.08,534.9055643837072
18.1,533.8071693415969
18.12,532.7087742994867
18.14,531.6103792573764
18.16,530.5119842152661
18.18,529.4135891731557
18.2,528.3151941310455
18.22,527.2167990889352
18.24,526.1184040468249
18.26,525.0200090047147
18.28,523.9216139626044
18.3,522.8232189204941
18.32,521.7248238783839
18.34,520.6264288362736
18.36,519.5280337941633
18.38,518.429638752053
18.4,517.3312437099428
18.42,516.2328486678325
18.44,515.1344536257221
18.46,514.0360585836119
18.48,512.9376635415016
18.5,511.8392684993913
18.52,510.74087345728105
18.54,509.64247841517073
