2theta,intensity
10.0,1014.0
10.02,1020.0
10.04,1041.0
10.06,993.0
10.08,1039.0
10.1,993.0
10.12,962.0
10.14,1023.0
10.16,975.0
10.18,1053.0
10.2,1001.0
10.22,1054.0
10.24,1027.0
10.26,1025.0
10.28,1021.0
10.3,1087.0
10.32,1011.0
10.34,1029.0
10.36,1009.0
10.38,991.0
10.4,999.0
10.42,1031.0
10.44,1021.0
10.46,985.0
10.48,1013.0
10.5,1044.0
10.52,1010.0
10.54,1011.0
10.56,1025.0
10.58,968.0
10.6,957.0
10.62,968.0
10.64,979.0
10.66,1033.0
10.68,972.0
10.7,996.0
10.72,964.0
10.74,977.0
10.76,941.0
10.78,1036.0
10.8,955.0
10.82,959.0
10.84,973.0
10.86,940.0
10.88,1038.0
10.9,936.0
10.92,985.0
10.94,905.0
10.96,970.0
10.98,967.0
11.0,961.0
11.02,948.0
11.04,922.0
11.06,976.0
11.08,942.0
11.1,965.0
11.12,931.0
11.14,982.0
11.16,955.0
11.18,954.0
11.2,935.0
11.22,939.0
11.24,961.0
11.26,918.0
11.28,862.0
11.3,927.0
11.32,943.0
11.34,956.0
11.36,955.0
11.38,903.0
11.4,957.0
11.42,940.0
11.44,963.0
11.46,926.0
11.48,923.0
11.5,947.0
11.52,909.0
11.54,937.0
11.56,929.0
11.58,883.0
11.6,973.0
11.62,912.0
11.64,922.0
11.66,892.0
11.68,923.0
11.7,861.0
11.72,899.0
11.74,929.0
11.76,857.0
11.78,888.0
11.8,951.0
11.82,905.0
11.84,876.0
11.86,950.0
11.88,916.0
11.9,843.0
11.92,869.0
11.94,929.0
11.96,919.0
11.98,838.0
12.0,868.0
12.02,899.0
12.04,903.0
12.06,889.0
12.08,902.0
12.1,915.0
12.12,858.0
12.14,973.0
12.16,927.0
12.18,894.0
12.2,831.0
12.22,833.0
12.24,887.0
12.26,864.0
12.28,842.0
12.3,867.0
12.32,853.0
12.34,851.0
12.36,901.0
12.38,890.0
12.4,891.0
12.42,870.0
12.44,873.0
12.46,866.0
12.48,827.0
12.5,849.0
12.52,894.0
12.54,834.0
12.56,841.0
12.58,878.0
12.6,829.0
12.62,833.0
12.64,865.0
12.66,807.0
12.68,843.0
12.7,818.0
12.72,830.0
12.74,858.0
12.76,846.0
12.78,802.0
12.8,862.0
12.82,846.0
12.84,800.0
12.86,840.0
12.88,817.0
12.9,878.0
12.92,809.0
12.94,854.0
12.96,828.0
12.98,844.0
13.0,836.0
13.02,846.0
13.04,788.0
13.06,831.0
13.08,828.0
13.1,806.0
13.12,824.0
13.14,832.0
13.16,825.0
13.18,780.0
13.2,779.0
13.22,796.0
13.24,871.0
13.26,804.0
13.28,838.0
13.3,820.0
13.32,802.0
13.34,859.0
13.36,847.0
13.38,806.0
13.4,871.0
13.42,813.0
13.44,828.0
13.46,860.0
13.48,779.0
13.5,828.0
13.52,835.0
13.54,771.0
13.56,797.0
13.58,818.0
13.6,817.0
13.62,812.0
13.64,767.0
13.66,785.0
13.68,777.0
13.7,744.0
13.72,760.0
13.74,757.0
13.76,770.0
13.78,792.0
13.8,752.0
13.82,797.0
13.84,764.0
13.86,757.0
13.88,813.0
13.9,835.0
13.92,789.0
13.94,787.0
13.96,807.0
13.98,805.0
14.0,775.0
14.02,818.0
14.04,808.0
14.06,832.0
14.08,746.0
14.1,799.0
14.12,853.0
14.14,808.0
14.16,844.0
14.18,827.0
14.2,829.0
14.22,841.0
14.24,874.0
14.26,931.0
14.28,932.0
14.3,910.0
14.32,894.0
14.34,949.0
14.36,947.0
14.38,948.0
14.4,1064.0
14.42,1048.0
14.44,1165.0
14.46,1102.0
14.48,1159.0
14.5,1263.0
14.52,1297.0
14.54,1393.0
14.56,1447.0
14.58,1566.0
14.6,1696.0
14.62,1865.0
14.64,1960.0
14.66,2207.0
14.68,2347.0
14.7,2584.0
14.72,2801.0
14.74,2983.0
14.76,3372.0
14.78,3589.0
14.8,3925.0
14.82,4081.0
14.84,3918.0
14.86,3656.0
14.88,2984.0
14.9,2478.0
14.92,1854.0
14.94,1540.0
14.96,1343.0
